subject;question;true;wrong1;wrong2;wrong3
Automobil;Bedeutung der Abkürzung AGR?;Abgasrückführung;Allgemeine Getrieberegelung;Aktive Geschwindigkeitsregulierung;Anlasser-Generator-Regelung
Automobil;Aufgabe des Bordcomputers (BC)?;Berechnet/zeigt Fahrdaten an;Steuert die Bremsen;Regelt die Kühlung;Steuert Fensterheber
Automobil;Anzeichen für verschlissene Bremsbeläge?;Quietschendes/schleifendes Geräusch beim Bremsen;Die Lenkung zieht zur Seite;Gaspedal schwer betätigbar;Scheinwerfer flackern
Automobil;Funktion des Kühlmittels?;Führt überschüssige Wärme vom Motor ab;Dient als Schmiermittel;Reguliert den Öldruck;Erzeugt Wärme für die Heizung
Automobil;Unterschied PHEV (Plug-in) zu Hybrid?;PHEV kann extern geladen werden;PHEV hat keinen Verbrennungsmotor;PHEV ist immer allradgetrieben;PHEV hat keine Bremsen
Automobil;Was ist das Kompressionsverhältnis?;Verhältnis des Volumens über dem Kolben;Maximale Drehzahl des Motors;Verhältnis von Luft zu Kraftstoff;Abstand zwischen den Zylindern
Automobil;Aufgabe des ISOFIX-Systems?;Standardisiertes Befestigungssystem für Kindersitze;Spezielle Art von Sicherheitsgurt;Ein Notrufsystem;Ein System zur Diebstahlsicherung
Automobil;Nachteil des CVT-Getriebes?;Oft "Gummibandeffekt" und höhere Geräuschentwicklung;Viel komplexere Bauweise;Deutlich höherer Verbrauch;Es hat keine Rückwärtsgänge
Automobil;Zuständigkeit des Luftmassenmessers?;Misst angesaugte Luftmenge für Gemischbildung;Reguliert Ladedruck;Misst Außentemperatur;Reguliert Drehzahl der Lichtmaschine
Automobil;Bedeutung der Zahl 55 (Reifen)?;Querschnittsverhältnis;Maximale Belastung in kg;Mindestprofiltiefe;Die Geschwindigkeitsklasse
Automobil;Aufgabe eines Relais?;Schaltet starken Arbeitsstrom mit schwachem Steuerstrom;Misst Batteriespannung;Filtert elektrische Störungen;Speichert Energie
Automobil;Was ist der Ansaugkrümmer?;Das Bauteil, durch das Frischluft in die Zylinder strömt;Ein Teil des Auspuffs;Ein Filter für das Motoröl;Ein Kühlmittelbehälter
Automobil;Funktion des Notruf-Assistenten (E-Call)?;Sendet bei Unfall automatisch Notruf mit Standort;Kontaktiert bei kleinem Schaden die Versicherung;Ruft den Pannendienst;Steuert die Airbags
Automobil;Anzeichen für Luft im Bremssystem?;Weiches, schwammiges Bremspedal;Hartes Pedal ohne Bremswirkung;Lautes Quietschen der Bremsen;Bremslichter funktionieren nicht
Automobil;Folge von falschem Motoröl?;Erhöhter Verschleiß, Motorschäden;Nichts, das Öl funktioniert immer;Auto verbraucht mehr Kühlmittel;Batterie wird schneller leer
Automobil;Funktion der Federung?;Trägt das Gewicht und isoliert von Fahrbahnunebenheiten;Steuert die Richtung;Erzeugt den notwendigen Grip;Dient als Hitzeschutz
Automobil;Wozu dient das Schwungrad?;Gleicht ungleichmäßige Kurbelwellendrehung aus;Regelt die Kraftstoffzufuhr;Teil des Turboladers;Kühlt den Motor
Automobil;Ursache für Batteriewarnleuchte?;Lichtmaschine lädt Batterie nicht ausreichend;Batterie ist überladen;Ein Scheinwerfer ist defekt;Der Ölstand ist zu niedrig
Automobil;Bedeutung von P (Automatik)?;Parkstellung: Getriebe blockiert;Power-Modus (Sport);Pedal-Assistent ist aktiv;Programm-Modus (Manuell)
Automobil;Grund für ungleichmäßigen Reifenverschleiß?;Falsche Achsgeometrie;Der Tank ist nicht voll;Die Musik ist zu laut;Fahrersitz ist falsch eingestellt
Automobil;Welche Abgaskomponente reduziert der SCR-Katalysator?;Stickoxide (NOx);Kohlenmonoxid (CO);Wasserdampf;Unverbrannte Kohlenwasserstoffe
Automobil;Rolle der Airbag-Steuereinheit?;Erkennt Aufprallschwere und steuert Airbag-Auslösung;Pumpt Luft in die Reifen;Steuert die Klimaanlage;Regelt das Radio
Automobil;Funktion des Ventilspielausgleichs?;Stellt sicher, dass Ventile korrekt schließen;Erhöht die Motorleistung;Kühlt die Ventile;Verhindert Ölverlust
Automobil;Effekt des Bremskraftverstärkers?;Reduziert die notwendige Pedalkraft;Erhöht Lebensdauer der Bremsbeläge;Verkürzt Bremsweg bei Nässe;Steuert das ABS
Automobil;Hauptvorteil eines Mehrlenker-Fahrwerks?;Bessere Radführung und Fahrverhalten;Niedrigeres Fahrzeuggewicht;Einfachere Reparaturen;Geringere Kosten
Automobil;Anzeichen für defekten Kühlerlüfter?;Motortemperatur steigt im Stand stark an;Auto qualmt weiß aus dem Auspuff;Scheinwerfer sind dunkel;Innenraum wird nicht warm
Automobil;Was ist Verwindungssteifigkeit der Karosserie?;Widerstandsfähigkeit gegen Verdrehung;Die Härte des Lackes;Das Gewicht des Autos;Der Rostschutz
Automobil;Funktion des Ladeluftkühlers?;Kühlt komprimierte Ansaugluft;Kühlt das Motoröl;Filtert die Ladeluft;Regelt den Kraftstoffdruck
Automobil;Funktion des adaptiven Kurvenlichts?;Passt Lichtkegel Lenkeinschlag und Geschwindigkeit an;Schaltet Fern-/Abblendlicht automatisch um;Spezielles Licht für Nebel;Erkennt Fußgänger
Automobil;Zweck der Servolenkungsflüssigkeit?;Überträgt Kraft und schmiert die Komponenten;Kühlt die Bremsen;Reinigt das Getriebe;Dient als Frostschutzmittel
Automobil;Was ist ein Overdrive-Gang?;Langer Gang zur Drehzahlsenkung;Kurzer Gang für starke Beschleunigung;Spezialgang für Geländefahrten;Der Rückwärtsgang
Automobil;Zweck des Bremsassistenten (BAS)?;Erkennt Notbremsung und baut maximalen Bremsdruck auf;Hält den Abstand;Übernimmt das Einparken;Ersetzt das ABS
Automobil;Rolle der Wasserpumpe?;Zirkuliert das Kühlmittel durch Motor und Kühler;Reguliert den Öldruck;Erzeugt Wärme für die Heizung;Filtert das Kühlmittel
Automobil;Info durch den DOT-Code (Reifen)?;Produktionswoche und -jahr;Die Höchstgeschwindigkeit;Die Profiltiefe;Die Reifengröße
Automobil;Bauteil zur Regelung von Kraftstoffmenge?;Die Motorsteuerung;Der Zündverteiler;Die Ölpumpe;Der Anlasser
Automobil;Was ist die Verstärkung in der Tür?;Der Seitenaufprallschutz;Die Fensterhebermechanik;Das Türschloss;Der Türgriff
Automobil;Aufgabe des Luftfilters?;Reinigt Luft von Schmutz;Filtert das Motoröl;Kühlt das Getriebe;Reduziert den Lärm
Automobil;Ziel des Start-Stopp-Systems?;Reduzierung von Verbrauch/Emissionen (Motor aus);Erhöhung der Motorleistung;Kühlen des Innenraums;Automatisches Einparken
Automobil;Unterschied Trommel-/Scheibenbremsen?;Scheibe: Bessere Wärmeabfuhr und Leistung;Trommel: Leichter;Scheibe: Nur an der Hinterachse;Trommel: Hat kein ABS
Automobil;Funktion des Expansionsventils (Klima)?;Regelt Kältemittelmenge in den Verdampfer;Kühlt den Motor;Erhöht den Druck im System;Steuert die Lüftung
Automobil;Hauptzweck der Lenkgeometrie?;Optimaler Geradeauslauf und geringer Reifenverschleiß;Erhöht die Höchstgeschwindigkeit;Kontrolliert den Ölstand;Misst die Batteriespannung
Automobil;Was ist ein Gleichlaufgelenk?;Überträgt Kraft Getriebe/Rad;Dient als Stoßdämpfer;Teil der Beleuchtung;Filtert die Abgase
Automobil;Aufgabe des Zündverteilers?;Verteilt Hochspannung auf die Zündkerzen;Regelt die Kraftstoffmenge;Kühlt den Motor;Startet den Motor
Automobil;Defekt an Zweimassenschwungrad (ZMS)?;Verschlissene Dämpferelemente;Es kann rosten;Es wird zu leicht;Es verliert Öl
Automobil;Zweck des Regensensors?;Erkennt Niederschlag und steuert Scheibenwischer;Misst die Luftfeuchtigkeit;Steuert die Beleuchtung;Aktiviert Nebelscheinwerfer
Automobil;Einheit für Motorleistung (DE)?;Kilowatt (kW) oder Pferdestärke (PS);Newtonmeter (Nm);Amperestunden (Ah);Liter pro 100 km
Automobil;Bedeutung der Abkürzung OPF?;Ottopartikelfilter;Öl-Prüf-Funktion;Optimierter Fahrassistent;On-Board-Pannenhilfe
Automobil;Was ist ein Viskolüfter?;Mechanischer Kühlerlüfter;Elektrisch gesteuerter Turbolader;Sensor zur Temperaturmessung;Automatisches Getriebe
Automobil;Was bedeutet SAE-Klassifikation beim Öl?;Viskosität des Öls;Die chemische Zusammensetzung;Die empfohlene Wechselhäufigkeit;Der Brennwert
Automobil;Was ist ein Head-up-Display?;Projektion relevanter Infos auf die Scheibe;Ein spezieller Scheinwerfer;Ein Warnsystem für Müdigkeit;Eine Art von Radio
Automobil;Aufgabe des Tempomaten?;Hält eine konstante Geschwindigkeit;Reguliert den Abstand zum Vordermann;Lenkt das Auto automatisch;Bremst in Notfällen
Automobil;Dichtung gegen Öleintritt in den Brennraum?;Ventilschaftdichtungen und Kolbenringe;Die Zylinderkopfdichtung;Der Ölfilter;Die Ölablassschraube
Automobil;Zweck eines Bremslichtschalters?;Aktiviert die Bremslichter bei Pedalbetätigung;Misst den Bremsweg;Regelt den Bremsdruck;Steuert das ABS
Automobil;Was ist ein Bimetall-Thermostat?;Reguliert Kühlmitteltemperatur mechanisch;Ein elektrischer Temperatursensor;Ein Teil der Klimaanlage;Ein Öldrucksensor
Automobil;Bedeutung des "Alpine"-Symbols (Reifen)?;Erfüllt definierte Wintertauglichkeitsstandards;Ist für den Sommer ungeeignet;Gilt nur für Allradfahrzeuge;Symbol für hohe Geschwindigkeiten
Automobil;Funktion des Kühlmittel-Ausgleichsbehälters?;Nimmt Volumenänderungen auf und hält Druck konstant;Speichert das gesamte Kühlmittel;Kühlt das Motoröl;Filtert das Kühlmittel
Automobil;Vorteil eines Längsmotors?;Einfachere Anordnung für Fahrwerke;Kompaktere Bauweise;Niedrigerer Kraftstoffverbrauch;Geringere Kosten
Automobil;Warnsignal bei platten Reifen (TPMS)?;Das Reifendruck-Kontrollsystem leuchtet auf;Das ABS schaltet sich ab;Die Lenkung blockiert;Der Motor wird langsamer
Automobil;Hauptfunktion der Vakuumpumpe (Diesel)?;Erzeugt Unterdruck für Bremskraftverstärker;Pumpt den Kraftstoff;Reguliert den Ladedruck;Kühlt das Getriebe
Automobil;Rolle des Schaltgestänges?;Mechanische Verbindung zwischen Schalthebel und Getriebe;Elektronische Steuerung der Gänge;Hydraulische Kupplungsbetätigung;Teil des Differentials
Automobil;Was ist ein Luftfederbein?;Kombiniert Stoßdämpfer und Luftfeder;Ein spezieller Reifen;Ein Sensor für die Luftqualität;Ein Teil der Karosserie
Automobil;Was ist ein "Drehzahlmesser"?;Zeigt die Umdrehungen pro Minute;Misst die Geschwindigkeit;Zeigt den Kraftstoffverbrauch;Zeigt die Wassertemperatur
Automobil;Hauptaufgabe des Abgasrückführungsventils?;Leitet Abgas in Ansaugtrakt zur Temperatursenkung;Erhöht die Leistung;Kühlt den Katalysator;Filtert den Kraftstoff
Automobil;Zweck des Fahrwerksregelsystems?;Ermöglicht elektronische Anpassung der Dämpfer;Steuert nur die Lenkung;Misst den Reifendruck;Ist nur für Geländewagen
Automobil;Funktion des Anlassers?;startet den Verbrennungsmotor;Erzeugt den Zündfunken;Pumpt Öl in den Motor;Lädt die Batterie
Automobil;Was passiert beim Zündwinkel im Motor?;Bestimmt, wann der Zündfunken erfolgt;Er regelt die Ölmenge;Er steuert die Klimaanlage;Er misst die Temperatur
Automobil;Hauptzweck eines Reserverades (Notrad)?;Kurzfristiger Ersatz bei einem Platten;Für Fahrten über 100 km/h;Teil der Bremsanlage;Enthält das Wagenheber-Werkzeug
Automobil;Rolle der Domlager im Fahrwerk?;Verbinden Federbein mit Karosserie;Tragen das gesamte Fahrzeuggewicht;Dämpfen Stöße;Stabilisieren die Spur
Automobil;Funktion des Dieselinjektors?;Zerstäubt und spritzt Dieselkraftstoff;Erzeugt den Zündfunken;Regelt die Luftzufuhr;Kühlt das Getriebe
Automobil;Vorteil eines elektrischen Zuheizers?;Schnellere Erwärmung des Innenraums;Verbraucht keinen Strom;Kühlt das Auto besser;Verhindert das Beschlagen der Scheiben
Automobil;Wann Warnblinkanlag einsetzen?;Bei Panne, Unfall oder Gefahr;Immer bei Regen;Beim Fahren durch einen Tunnel;Beim Warten auf Grün an der Ampel
Automobil;Welche Beleuchtung ist innerorts bei Nacht Pflicht?;Abblendlicht;Fernlicht;Standlicht;Nebelscheinwerfer
Automobil;Was ist ein Aktives Fahrwerk?;Fahrwerk, dessen Komponenten elektronisch gesteuert werden;Fahrwerk ohne Federn;Fahrwerk, das nur aus Gummi besteht;Fahrwerk mit nur einer Achse
Automobil;Was ist ein Schiebedach?;Eine bewegliche Glas- oder Metallfläche im Dach;Ein Teil der Sicherheitszelle;Eine spezielle Antenne;Ein Sensor für die Höhe
Automobil;Hauptfunktion des Scheibenwischers?;Reinigung der Windschutzscheibe;Aktivierung des Regensensors;Belüftung des Innenraums;Abwehr von Insekten
Automobil;Wofür steht DPF?;Dieselpartikelfilter;Direkt-Power-Funktion;Dynamische Fahrprofil;Doppel-Pedal-Führung
Automobil;Aufgabe des Bremskraftreglers?;Verteilt die Bremskraft optimal Achse/Achse;Erhöht den Bremsdruck gleichmäßig;Schaltet das ABS ein;Kühlt die Bremsen
Automobil;Was ist ein Kolben?;Überträgt Kraft des Motors auf die Kurbelwelle;Ein Sensor für den Öldruck;Ein Filter für die Luft;Ein Teil des Auspuffs
Automobil;Wozu dient Scheibenwaschwasser?;Reinigung der Scheiben;Kühlen der Scheinwerfer;Kühlen des Motors;Schmieren der Wischerblätter
Automobil;Was ist ein Automatikgetriebe?;Getriebe, das die Gänge ohne manuelles Kuppeln wechselt;Getriebe mit nur zwei Gängen;Getriebe ohne Rückwärtsgang;Getriebe nur für Sportwagen
Automobil;Funktion der Ölwanne?;Behälter zur Speicherung des Motoröls;Filter für das Öl;Kühlt das Öl;Regelt den Öldruck
Automobil;Was ist ein Bremsbelagverschleißanzeiger?;Signalisiert notwendigen Bremsbelagwechsel;Ein Sensor für die Temperatur;Ein Teil des ABS;Ein Warnsystem für Müdigkeit
Automobil;Wofür steht TÜV?;Technischer Überwachungsverein;Totaler Umwelt-Verein;Transport-Unterstützungs-Verband;Test- und Überführungs-Vorgabe
Automobil;Was beschreibt die Klopffestigkeit von Benzin?;Den Widerstand gegen unkontrollierte Selbstzündung;Die Brenndauer im Zylinder;Die maximale Verbrennungstemperatur;Den Energiegehalt pro Liter
Automobil;Welche Aufgabe hat der Inverter in einem Elektroauto?;Wandelt Gleichstrom der Batterie in Wechselstrom für den Motor;Regelt die Ladespannung der 12V-Batterie;Kühlt die Hochvolt-Batterie;Verbindet den Ladestecker mit dem Akku
Automobil;Was bedeutet "Rekuperationsstufe" bei E-Autos?;Die Stärke der Bremsverzögerung zur Energierückgewinnung;Die Geschwindigkeit des Ladevorgangs;Die Anzahl der Elektromotoren;Die maximale Kapazität der Batterie
Automobil;Wozu dient das Batteriemanagementsystem (BMS)?;Überwachung von Zellspannung und Temperatur;Steuerung der Innenraumheizung;Regelung der Höchstgeschwindigkeit;Schutz vor Diebstahl des Akkus
Automobil;Was ist die Hauptaufgabe eines Ölkühlers?;Senkung der Öltemperatur bei hoher Belastung;Erhöhung des Öldrucks;Filterung feinster Metallpartikel;Verhinderung von Ölschaumbildung
Automobil;Wann spricht man von einer Mehrlenker-Achse?;Wenn das Rad von drei oder mehr Lenkern geführt wird;Wenn zwei Achsen gleichzeitig angetrieben werden;Wenn das Getriebe an der Hinterachse sitzt;Wenn die Stoßdämpfer verstellbar sind
Automobil;Was ist der "Memory-Effekt" bei modernen Fahrzeugbatterien?;Bei Li-Ionen-Akkus praktisch nicht mehr vorhanden;Tritt nur bei Schnellladungen auf;Führt zur dauerhaften Kapazitätserhöhung;Beschreibt das automatische Abschalten
Automobil;Was misst ein Ultraschallsensor am Auto?;Distanz zu Hindernissen im Nahbereich;Geschwindigkeit des fließenden Verkehrs;Den Reifendruck während der Fahrt;Die Regenintensität
Automobil;Was ist die Aufgabe des Radsensors beim ABS?;Erfasst die Raddrehzahl und erkennt Blockierneigung;Misst den Verschleiß der Bremsbeläge;Regelt den Reifendruck automatisch;Überträgt das Drehmoment auf das Rad
Automobil;Wofür steht die Abkürzung ACC?;Adaptive Cruise Control (Abstandsregeltempomat);Active Chassis Control;Automatic Clutch Control;Advanced Car Communication
Automobil;Was bewirkt ein negativer Sturz an der Vorderachse?;Verbesserte Seitenführung in Kurven;Geringeren Reifenverschleiß beim Geradeausfahren;Höhere Endgeschwindigkeit;Leichtere Lenkbarkeit im Stand
Automobil;Was ist ein "Mild-Hybrid"?;System mit Startergenerator, das nicht rein elektrisch fahren kann;Ein Auto, das nur mit Biogas fährt;Ein Elektroauto mit kleinem Benzin-Hilfsmotor;Ein Fahrzeug ohne Getriebe
Automobil;Was ist die Funktion des Ausgleichsgetriebes?;Ermöglicht unterschiedliche Drehzahlen der Antriebsräder;Verbindet Motor und Getriebe;Erhöht die Bodenfreiheit;Kühlt die Antriebswellen
Automobil;Welches Bauteil regelt den Ladedruck eines Turboladers?;Das Wastegate-Ventil;Die Drosselklappe;Die Lambdasonde;Der Luftmassenmesser
Automobil;Was ist ein "Plug-in-Hybrid" (PHEV)?;Hybrid mit größerem Akku, der extern geladen werden kann;Ein Hybrid, der nur beim Bremsen lädt;Ein Elektroauto mit Solardach;Ein Auto mit zwei getrennten Kraftstofftanks
Automobil;Was beschreibt die Viskosität eines Öls?;Das Fließverhalten bei verschiedenen Temperaturen;Die Reinheit des Öls;Den Gehalt an chemischen Zusätzen;Die Farbe des Öls
