subject;question;true;wrong1;wrong2;wrong3
Geschichte;Welcher Konflikt wird oft als der "Pfaffenkrieg" in Deutschland bezeichnet?;Kulturkampf;Dreißigjähriger Krieg;Investiturstreit;Schmalkaldischer Krieg
Geschichte;Wer war der erste Kaiser des Deutschen Reiches (ab 1871)?;Wilhelm I.;Otto von Bismarck;Wilhelm II.;Friedrich III.
Geschichte;In welchem Jahr wurde der Staat Vietnam offiziell wiedervereinigt?;1976;1954;1975;1980
Geschichte;Welches Ereignis markiert 1947 die Teilung Indiens in zwei unabhängige Staaten?;Mountbatten-Plan;Salt Satyagraha;Quit India Movement;Amritsar-Massaker
Geschichte;Wer war der letzte Präsident der Sowjetunion?;Michail Gorbatschow;Boris Jelzin;Leonid Breschnew;Juri Andropow
Geschichte;In welchem Jahr fand die erste Industrielle Revolution in Großbritannien ihren Höhepunkt?;1770-1830 (ungefähre Angabe);1870-1914;1650-1700;1830-1870
Geschichte;Welcher afrikanische Staat war nie formell kolonisiert (neben Äthiopien)?;Liberia;Ghana;Nigeria;Südafrika
Geschichte;Wer war der Initiator der Reformation in Deutschland im Jahr 1517?;Martin Luther;Johannes Calvin;Ulrich Zwingli;Jan Hus
Geschichte;In welchem Jahr begann der Chinesische Bürgerkrieg zwischen KMT und KPCh (zweite Phase)?;1946;1927;1937;1949
Geschichte;Welcher römische Kaiser baute die berühmte Brücke über die Donau?;Trajan;Hadrian;Augustus;Marc Aurel
Geschichte;Wer war der erste Sultan, der das Osmanische Reich gründete (1299)?;Osman I.;Mehmed II.;Süleyman I.;Selim I.
Geschichte;In welchem Jahr wurde die erste funktionierende E-Mail verschickt?;1971;1969;1983;1990
Geschichte;Welche Schlacht beendete 480 v. Chr. die Invasion der Perser in Griechenland zu Wasser?;Schlacht von Salamis;Schlacht von Marathon;Schlacht bei Thermopylen;Schlacht von Gaugamela
Geschichte;Welches Ereignis am 14. Juli 1789 gilt als Beginn der Französischen Revolution?;Sturm auf die Bastille;Ballhausschwur;Hinrichtung Ludwigs XVI.;Flucht nach Varennes
Geschichte;Wer war der preußische Ministerpräsident, der 1871 die Deutsche Einigung vollendete?;Otto von Bismarck;Fürst von Metternich;Friedrich Wilhelm IV.;Wilhelm I.
Geschichte;In welchem Jahr endete der Dreißigjährige Krieg?;1648;1618;1630;1652
Geschichte;Welche berühmte Konferenz regelte 1815 die Neuordnung Europas?;Wiener Kongress;Berliner Kongress;Wannseekonferenz;Konferenz von Jalta
Geschichte;Wer krönte Karl den Großen im Jahr 800 zum Kaiser?;Papst Leo III.;Papst Gregor VII.;Papst Urban II.;Papst Innozenz III.
Geschichte;Welche antike Zivilisation ist für den Bau der Großen Zikkurat von Ur bekannt?;Sumerer;Ägypter;Phönizier;Perser
Geschichte;In welchem Jahr begann der Bau der Berliner Mauer?;1961;1949;1953;1963
Geschichte;Wer verfasste die "95 Thesen", die die Reformation auslösten?;Martin Luther;Huldrych Zwingli;Johannes Calvin;Philipp Melanchthon
Geschichte;Welches Imperium wurde durch die Eroberung von Konstantinopel 1453 beendet?;Byzantinisches Reich;Heiliges Römisches Reich;Osmanisches Reich;Persisches Reich
Geschichte;In welcher Epoche war die Hanse der führende Handelsbund in Nordeuropa?;Mittelalter;Renaissance;Frühe Neuzeit;Antike
Geschichte;Wer war die „Eiserne Lady“ und britische Premierministerin?;Margaret Thatcher;Theresa May;Queen Victoria;Elisabeth II.
Geschichte;Welches Land wurde durch den Vertrag von Tordesillas 1494 zwischen Spanien und Portugal aufgeteilt?;Südamerika;Afrika;Nordamerika;Indien
Geschichte;In welchem Jahr fiel das Tokugawa-Shogunat in Japan (Meiji-Restauration)?;1868;1853;1894;1912
Geschichte;Wer besiegte Napoleon Bonaparte endgültig in der Schlacht bei Waterloo?;Herzog von Wellington;Gebhard von Blücher;Alexander I.;Erzherzog Karl
Geschichte;Welches Ereignis löste 1914 offiziell den Ersten Weltkrieg aus?;Attentat von Sarajevo;Versenkung der Lusitania;Einmarsch in Belgien;Julikrise
Geschichte;In welchem Jahr wurde die NATO gegründet?;1949;1945;1955;1948
Geschichte;Wer war der Anführer der Jakobiner während des "Großen Terrors"?;Maximilien de Robespierre;Georges Danton;Jean-Paul Marat;Napoleon Bonaparte
Geschichte;Welche Entdeckung ermöglichte 1822 die Entschlüsselung der Hieroglyphen?;Stein von Rosette;Grab des Tutanchamun;Papyrus Harris;Obelisk von Philae
Geschichte;In welchem Jahr wurde die DDR gegründet?;1949;1945;1953;1961
Geschichte;Welcher Navigator umsegelte als erster (bzw. seine Expedition) die Welt?;Ferdinand Magellan;Vasco da Gama;Francis Drake;James Cook
Geschichte;Welche Dynastie herrschte über China zur Zeit der Seidenstraßen-Blüte?;Tang-Dynastie;Ming-Dynastie;Qin-Dynastie;Yuan-Dynastie
Geschichte;In welchem Jahr fand die Schlacht bei Austerlitz (Drei-Kaiser-Schlacht) statt?;1805;1806;1812;1815
Geschichte;Wer war der sowjetische Staatschef während der Kubakrise?;Nikita Chruschtschow;Josef Stalin;Leonid Breschnew;Michail Gorbatschow
Geschichte;Welches mittelalterliche Dokument (1215) schränkte die Rechte des englischen Königs ein?;Magna Carta;Bill of Rights;Golden Bull;Habeas Corpus Act
Geschichte;In welchem Jahr endete der Vietnamkrieg offiziell?;1975;1973;1968;1980
Geschichte;Wer war der führende Kopf der indischen Unabhängigkeitsbewegung (gewaltfreier Widerstand)?;Mahatma Gandhi;Jawaharlal Nehru;Subhash Chandra Bose;Indira Gandhi
Geschichte;Welcher römische General besiegte Hannibal in der Schlacht von Zama?;Scipio Africanus;Julius Caesar;Pompeius;Sulla
Geschichte;In welchem Jahr trat der Marshallplan zur Unterstützung Westeuropas in Kraft?;1948;1945;1950;1952
Geschichte;Wer war der Architekt der "Apartheid" in Südafrika?;Hendrik Verwoerd;Nelson Mandela;F.W. de Klerk;Desmond Tutu
Geschichte;Welches Land gehörte im Zweiten Weltkrieg NICHT zu den Achsenmächten?;Spanien;Italien;Japan;Ungarn
Geschichte;In welchem Jahr wurde die Europäische Union (EU) durch den Maastrichter Vertrag gegründet?;1992;1989;1957;2002
Geschichte;Wer entdeckte 1928 das Penicillin?;Alexander Fleming;Louis Pasteur;Robert Koch;Edward Jenner
Geschichte;Welche Revolution im Jahr 1917 führte zur Machtübernahme der Bolschewiki?;Oktoberrevolution;Februarrevolution;Märzrevolution;Kulturrevolution
Geschichte;In welchem Jahr fand die Konferenz von Jalta statt?;1945;1944;1946;1943
Geschichte;Wer krönte sich 1804 selbst zum Kaiser?;Napoleon Bonaparte;Ludwig XIV.;Karl V.;Friedrich der Große
Geschichte;Welches antike Weltwunder befand sich in Alexandria?;Der Leuchtturm;Die Hängenden Gärten;Der Koloss;Das Mausoleum
Geschichte;In welchem Jahr wurde der Staat Israel proklamiert?;1948;1947;1945;1950
Geschichte;Wer war der preußische König, der als „Soldatenkönig“ bekannt war?;Friedrich Wilhelm I.;Friedrich II.;Wilhelm I.;Friedrich I.
Geschichte;Welche Krise markierte 1956 das Ende des britisch-französischen Einflusses im Nahen Osten?;Sueskrise;Sechstagekrieg;Jom-Kippur-Krieg;Abadan-Krise
Geschichte;In welchem Jahr wurde die Sklaverei in den USA offiziell abgeschafft (13. Zusatzartikel)?;1865;1861;1863;1870
Geschichte;Wer war der Autor von „Der Staat“ (Politeia)?;Platon;Aristoteles;Sokrates;Cicero
Geschichte;Welches Ereignis beendete 1806 das Heilige Römische Reich Deutscher Nation?;Gründung des Rheinbundes;Wiener Kongress;Schlacht bei Waterloo;Tod Karls des Großen
Geschichte;In welchem Jahr wurde die Welthandelsorganisation (WTO) gegründet?;1995;1990;1948;2000
Geschichte;Wer war der Anführer der „Roten Khmer“ in Kambodscha?;Pol Pot;Ho Chi Minh;Norodom Sihanouk;Lon Nol
Geschichte;Welcher Vertrag sicherte 1555 den Religionsfrieden im Heiligen Römischen Reich?;Augsburger Religionsfriede;Westfälischer Friede;Edikt von Nantes;Passauer Vertrag
Geschichte;In welchem Jahr fand der Marsch auf Rom durch Mussolini statt?;1922;1919;1933;1925
Geschichte;Wer war der erste Mensch im Weltraum?;Juri Gagarin;Alan Shepard;Neil Armstrong;John Glenn
Geschichte;Welche Zivilisation nutzte die Quipu (Knotenschrift) zur Verwaltung?;Inka;Maya;Azteken;Olmeken
Geschichte;In welchem Jahr wurde der Panama-Kanal offiziell eröffnet?;1914;1904;1881;1920
Geschichte;Wer war der Philosoph der Aufklärung, der die Gewaltenteilung forderte?;Montesquieu;Voltaire;Rousseau;Kant
Geschichte;Welche Schlacht markiert den Sieg der Griechen gegen die Perser im Jahr 490 v. Chr.?;Schlacht bei Marathon;Schlacht von Salamis;Schlacht bei Platää;Schlacht bei Issos
Geschichte;In welchem Jahr endete das Britische Mandat über Palästina?;1948;1945;1939;1950
Geschichte;Wer war der Anführer der haitianischen Revolution?;Toussaint Louverture;Simón Bolívar;José de San Martín;Jean-Jacques Dessalines
Geschichte;Welches Land kolonisierten die Buren ursprünglich in Südafrika?;Niederlande;Großbritannien;Deutschland;Frankreich
Geschichte;In welchem Jahr wurde der Euro als Bargeld eingeführt?;2002;1999;2000;2001
Geschichte;Wer war der US-Präsident während der Kubakrise?;John F. Kennedy;Lyndon B. Johnson;Dwight D. Eisenhower;Richard Nixon
Geschichte;Welches Ereignis leitete 1929 die Weltwirtschaftskrise ein?;Schwarzer Donnerstag;Untergang der Titanic;Ende des Ersten Weltkriegs;Wahl Hitlers
Geschichte;In welcher Stadt wurde 1945 die Charta der Vereinten Nationen unterzeichnet?;San Francisco;New York;London;Washington D.C.
Geschichte;Wer war der erste Kaiser von Rom (ehemals Octavian)?;Augustus;Julius Caesar;Tiberius;Nero
Geschichte;Welches Friedensabkommen beendete 1995 den Krieg in Bosnien und Herzegowina?;Abkommen von Dayton;Abkommen von Oslo;Karfreitagsabkommen;Vertrag von Nizza
Geschichte;In welchem Jahr wurde die erste bemannte Mondlandung (Apollo 11) durchgeführt?;1969;1968;1971;1961
Geschichte;Welche Seeschlacht im Jahr 1571 stoppte die osmanische Expansion im Mittelmeer?;Schlacht von Lepanto;Schlacht von Actium;Schlacht von Salamis;Schlacht von Trafalgar
Geschichte;In welchem Jahr wurde die Republik China (Taiwan) offiziell von der UNO ausgeschlossen?;1971;1949;1979;1989
Geschichte;Wer war der Anführer der Südstaaten (Konföderation) im Amerikanischen Bürgerkrieg?;Jefferson Davis;Robert E. Lee;Ulysses S. Grant;Stonewall Jackson
Geschichte;Welches Ereignis markiert das Ende des Alten Ägypten als unabhängige Macht (30 v. Chr.)?;Tod Kleopatras VII.;Schlacht bei Kadesch;Eroberung durch Alexander;Bau der Pyramiden
Geschichte;In welchem Jahr fand der Boxeraufstand in China statt?;1900;1850;1895;1911
Geschichte;Wer war der wichtigste Diplomat auf dem Wiener Kongress?;Fürst von Metternich;Charles de Talleyrand;Zar Alexander I.;Lord Castlereagh
Geschichte;Welche Krankheit dezimierte die indigene Bevölkerung Amerikas nach 1492 am stärksten?;Pocken;Pest;Grippe;Cholera
Geschichte;In welchem Jahr wurde der Staat Vietnam in Nord und Süd geteilt (Genfer Konferenz)?;1954;1945;1975;1963
Geschichte;Wer war der letzte Schah von Persien (Iran)?;Mohammad Reza Pahlavi;Reza Schah Pahlavi;Naser ad-Din Schah;Fath Ali Schah
Geschichte;Welcher Navigator erreichte 1498 als erster den Seeweg nach Indien?;Vasco da Gama;Christoph Kolumbus;Bartolomeu Dias;Amerigo Vespucci
Geschichte;In welchem Jahr begann der Spanische Bürgerkrieg?;1936;1933;1939;1931
Geschichte;Wer gilt als der Entdecker Brasiliens (1500)?;Pedro Álvares Cabral;Amerigo Vespucci;Christoph Kolumbus;Vasco da Gama
Geschichte;Welche Konferenz im Jahr 1884 regelte die Aufteilung Afrikas unter den europäischen Mächten?;Berliner Afrika-Konferenz;Wiener Kongress;Konferenz von Paris;Münchner Konferenz
Geschichte;In welchem Jahr wurde die Genfer Konvention zum Schutz von Kriegsopfern erstmals verabschiedet?;1864;1899;1949;1929
Geschichte;Wer war der Anführer der Reformation in Zürich?;Huldrych Zwingli;Martin Luther;Johannes Calvin;Jan Hus
Geschichte;Welcher römische Kaiser ist für die Christenverfolgung nach dem Brand Roms bekannt?;Nero;Caligula;Diokletian;Trajan
Geschichte;In welchem Jahr endete das Shogunat der Minamoto (Beginn der Kamakura-Zeit)?;1185;1192;1333;1603
Geschichte;Wer war die erste Frau, die den Nordpol erreichte?;Ann Bancroft;Amelia Earhart;Valentina Tereschkowa;Marie Curie
Geschichte;Welches Ereignis löste 1979 die zweite große Ölkrise aus?;Iranische Revolution;Jom-Kippur-Krieg;Golfkrieg;Sowjetische Invasion in Afghanistan
Geschichte;In welchem Jahr wurde die Unabhängigkeit Brasiliens von Portugal erklärt?;1822;1810;1889;1824
Geschichte;Wer war der Autor des „Wohlstands der Nationen“ (1776)?;Adam Smith;Karl Marx;John Maynard Keynes;David Ricardo
Geschichte;Welche Stadt war während des Kalten Krieges durch eine Mauer geteilt?;Berlin;Wien;Prag;Warschau
Geschichte;In welchem Jahr fand die erste Völkerschlacht bei Leipzig statt?;1813;1815;1806;1809
Geschichte;Wer war der Gründer der Religionsgemeinschaft der Jesuiten?;Ignatius von Loyola;Franz von Assisi;Dominikus;Benedikt von Nursia
Geschichte;Welches Ereignis beendete 1991 offiziell den Kalten Krieg?;Zusammenbruch der Sowjetunion;Fall der Berliner Mauer;Wiedervereinigung Deutschlands;Ende des Golfkriegs
Geschichte;In welchem Jahr wurde der Staat Singapur von Malaysia unabhängig?;1965;1959;1963;1970
Geschichte;Wer war der erste Mensch, der den Südpol erreichte?;Roald Amundsen;Robert Falcon Scott;Ernest Shackleton;Fridtjof Nansen
Geschichte;Welche Dynastie herrschte in Frankreich bis zur Revolution 1789?;Bourbonen;Habsburger;Capet;Valois
Geschichte;In welchem Jahr fand das Attentat auf John F. Kennedy statt?;1963;1961;1962;1964
Geschichte;Wer war der erste Bundespräsident der DDR?;Wilhelm Pieck;Walter Ulbricht;Erich Honecker;Otto Grotewohl
Geschichte;In welchem Jahr wurde der Völkerbund aufgelöst?;1946;1945;1939;1950
Geschichte;Welches Land wurde durch den Friedensvertrag von Versailles 1919 zur Alleinschuld am Krieg verpflichtet?;Deutschland;Österreich-Ungarn;Osmanisches Reich;Bulgarien
Geschichte;In welchem Jahr begann die Herrschaft von Queen Victoria?;1837;1819;1851;1901
Geschichte;Wer war der Begründer der modernen Psychologie (Psychoanalyse)?;Sigmund Freud;Carl Jung;Wilhelm Wundt;Alfred Adler
Geschichte;Welcher Friede beendete 1659 den Krieg zwischen Frankreich und Spanien?;Pyrenäenfriede;Friede von Nimwegen;Friede von Rijswijk;Westfälischer Friede
