subject;question;true;wrong1;wrong2;wrong3
Essen;Wie nennt man das feine Zerschneiden von Kräutern in sehr schmale Streifen?;Chiffonade;Brunoise;Paysanne;Mirepoix
Essen;Welcher Wein wird traditionell für ein klassisches Risotto alla milanese verwendet?;Trockener Weißwein;Süßer Dessertwein;Schwerer Rotwein;Roséwein
Essen;In welcher Stadt wurde die Pizza Margherita angeblich erfunden?;Neapel;Rom;Florenz;Mailand
Essen;Welcher Prozess sorgt beim Brotbacken für die lockere Struktur?;Fermentation durch Hefe;Oxidation des Mehls;Schmelzen des Fetts;Verdampfen von Öl
Essen;Wie erreicht man bei einer Sauce Hollandaise die richtige Bindung?;Durch das Aufschlagen von Eigelb im Wasserbad;Durch Zugabe von kalter Mehlschwitze;Durch langes Kochen bei 100 Grad;Durch Einrühren von Speisestärke
Essen;Welches Gewürz verleiht dem indischen Pilau-Reis seine typisch gelbe Farbe?;Kurkuma;Kreuzkümmel;Koriander;Pfeffer
Essen;Wie bezeichnet man das Garen von Fleisch im eigenen Saft bei mäßiger Hitze?;Schmoren;Frittieren;Grillen;Blanchieren
Essen;Welche Zutat sorgt bei echten Pfannkuchen für die Bindung ohne Backpulver?;Eier;Milch;Mehl;Zucker
Essen;Woher stammt die bekannte scharfe Sriracha-Sauce ursprünglich?;Thailand;Vietnam;China;Japan
Essen;Welche Fischart wird traditionell für die Zubereitung von Stockfisch verwendet?;Kabeljau;Lachs;Forelle;Hering
Essen;Welcher Teil des Rindes wird für ein klassisches Entrecôte verwendet?;Zwischenrippenstück;Hüfte;Unterschale;Wade
Essen;Wie verhindert man, dass geschälte Äpfel an der Luft braun werden?;Beträufeln mit Zitronensaft;Bestreuen mit Salz;Einlegen in warmes Wasser;Einfrieren
Essen;Welcher Käse darf auf einer echten Pasta Carbonara laut Originalrezept nicht fehlen?;Pecorino Romano;Mozzarella;Gorgonzola;Emmentaler
Essen;Wie nennt man das Verfahren, bei dem Wein zur Sauerstoffanreicherung umgefüllt wird?;Dekantieren;Filtrieren;Destillieren;Fermentieren
Essen;Welches Öl eignet sich aufgrund seines hohen Rauchpunkts am besten zum scharfen Anbraten?;Raffiniertes Erdnussöl;Natives Olivenöl;Leinöl;Kürbiskernöl
Essen;Welche Zutat gibt dem Pesto Verde seine charakteristische grüne Farbe?;Basilikum;Petersilie;Schnittlauch;Spinat
Essen;Wie nennt man die Technik, Fleisch vor dem Garen in Flüssigkeit einzulegen?;Marinieren;Dressieren;Bridieren;Tournieren
Essen;Welche Frucht wird zur Herstellung von echtem Kirschwasser verwendet?;Sauerkirsche;Süßkirsche;Johannisbeere;Himbeere
Essen;Was bewirkt Natron in einem schweren Rührteig?;Es dient als Backtriebmittel;Es macht den Teig süßer;Es färbt den Teig dunkel;Es ersetzt das Mehl
Essen;In welcher europäischen Region ist der "Pata Negra"-Schinken beheimatet?;Iberische Halbinsel;Toskana;Bretagne;Schwarzwald
Essen;Welche Konsistenz sollte ein perfekt gekochtes Onsen-Ei haben?;Wachsweiches Eigelb und Eiweiß;Hartgekocht;Komplett flüssig;Außen knusprig
Essen;Welche Hülsenfrucht ist die Basis für die französische Cassoulet?;Weiße Bohnen;Rote Linsen;Kichererbsen;Grüne Erbsen
Essen;Wie wird der Geschmack von Vanille aus der Schote am besten gelöst?;Durch Erhitzen in Milch oder Sahne;Durch Einlegen in kaltes Wasser;Durch Zermahlen mit Salz;Durch kurzes Rösten
Essen;Welches Gemüse bildet die Grundlage für eine klassische Sauce Tartare?;Gewürzgurken;Tomaten;Paprika;Zucchini
Essen;Welche Teigart wird für die Herstellung von Baklava verwendet?;Filoteig;Blätterteig;Mürbeteig;Hefeteig
Essen;Warum salzt man Auberginen oft vor dem Braten ein?;Um Bitterstoffe und Wasser zu entziehen;Um sie schneller gar zu bekommen;Um die Farbe zu erhalten;Um das Fett beim Braten zu binden
Essen;Welche Zutat ist für die Bindung einer Mayonnaise verantwortlich?;Eigelb;Zitronensaft;Senf;Öl
Essen;Wie nennt man das Ablöschen des Bratensatzes mit Flüssigkeit?;Deglacieren;Montieren;Legieren;Passieren
Essen;Welcher Pilz wächst ausschließlich unterirdisch und wird oft mit Hunden gesucht?;Trüffel;Steinpilz;Pfifferling;Morchel
Essen;Wie viel Prozent Fett muss Sahne mindestens haben, damit sie steif geschlagen werden kann?;30 Prozent;10 Prozent;20 Prozent;45 Prozent
Essen;Welches Land ist für die Erfindung des Fondue bekannt?;Schweiz;Frankreich;Österreich;Italien
Essen;Woraus wird die japanische Gewürzpaste Wasabi traditionell gewonnen?;Japanischer Meerrettich;Grüner Chili;Spinatwurzel;Algenkonzentrat
Essen;Welche Zutat macht einen Mürbeteig besonders mürbe?;Hoher Butteranteil;Viel Backpulver;Langes Kneten;Viel Wasser
Essen;Wie nennt man das Entfernen der Darmvene bei einer Garnele?;Entdarmen;Häuten;Filetieren;Schuppen
Essen;Welches Kraut ist der Hauptgeschmacksträger in einer Sauce Béarnaise?;Estragon;Basilikum;Dill;Majoran
Essen;Welche Reissorte klebt nach dem Kochen besonders stark und eignet sich für Sushi?;Rundkornreis;Langkornreis;Wildreis;Parboiled Reis
Essen;Wie verhindert man beim Kochen von grünem Gemüse den Farbverlust?;Eiswasser nach dem Blanchieren;Langes Kochen bei niedriger Hitze;Zugabe von Essig;Abdecken mit einem Deckel
Essen;Welche Zutat ist die Basis für das mexikanische Getränk Horchata?;Reis;Mais;Agave;Kaffee
Essen;Wie nennt man die kleinen, gefüllten Teigtaschen aus der polnischen Küche?;Pierogi;Ravioli;Dim Sum;Gyoza
Essen;Welches Teil vom Kalb wird klassischerweise für ein Wiener Schnitzel verwendet?;Oberschale;Hals;Wade;Rippe
Essen;Welcher Essig wird aus vergorenem Apfelmost gewonnen?;Apfelessig;Balsamico;Sherryessig;Reisessig
Essen;Welche Geschmacksrichtung wird durch die Zugabe von Salz in süßen Speisen verstärkt?;Süße;Säure;Bitterkeit;Schärfe
Essen;Wie nennt man das kurze Garen von Fleisch bei extrem hoher Hitze?;Anbraten;Dünsten;Sieden;Pochieren
Essen;Welche Zutat verleiht der Worcestersauce ihr spezielles Aroma?;Sardellen;Tomatenmark;Sojasauce;Austernextrakt
Essen;Wie bezeichnet man das Schlagen von Sahne oder Eiweiß bis zur Festigkeit?;Steifschlagen;Montieren;Emulgieren;Karamellisieren
Essen;Welche Knollenfrucht diente vor der Kartoffel in Europa oft als Grundnahrungsmittel?;Pastinake;Aubergine;Tomate;Zucchini
Essen;Welche Zutat darf in einer klassischen Gazpacho nicht fehlen?;Gurke;Kartoffel;Nudeln;Rindfleisch
Essen;In welcher Form wird Safran im Handel meist verkauft?;Fäden;Pulverisierte Wurzel;Getrocknete Blätter;Ganze Samen
Essen;Wie nennt man das langsame Garen von Fleisch in Fett?;Konfieren;Frittieren;Rösten;Dämpfen
Essen;Welches Kraut wird traditionell für die Zubereitung von Pimm's Cup verwendet?;Minze;Rosmarin;Thymian;Salbei
Essen;Welche Farbe hat ein vollreifer schwarzer Pfeffer vor der Trocknung?;Rot;Grün;Weiß;Gelb
Essen;Wie nennt man das feine Sieb, das in der Profiküche zum Passieren genutzt wird?;Spitzsieb;Durchschlag;Seiher;Mehlsieb
Essen;Welche Zutat ist für die rötliche Farbe von Tandoori-Gerichten verantwortlich?;Paprikapulver oder Lebensmittelfarbe;Kurkuma;Safran;Chili
Essen;Welcher Käse wird traditionell für griechischen Salat verwendet?;Feta;Halloumi;Gorgonzola;Mozzarella
Essen;Wie nennt man das Verschließen der Poren beim Fleisch durch Hitze?;Anbraten;Versiegeln;Pochieren;Blanchieren
Essen;Welche Getreideart enthält von Natur aus kein Gluten?;Mais;Weizen;Roggen;Dinkel
Essen;Wie nennt man die kleinen, schwarzen Punkte im Vanilleeis?;Samen der Vanilleschote;Gemahlene Rinde;Schokoladenraspeln;Kaffeestaub
Essen;Welche Zutat macht ein klassisches Soufflé so luftig?;Eischnee;Backpulver;Hefe;Schlagsahne
Essen;In welchem Land wurde der Earl Grey Tee berühmt?;England;Indien;China;Japan
Essen;Welcher Teil der Pflanze wird beim Gewürz Nelke verwendet?;Blütenknospe;Wurzel;Rinde;Samen
Essen;Wie nennt man das Garen von Lebensmitteln direkt über Wasserdampf?;Dämpfen;Dünsten;Sieden;Schmoren
Essen;Welche Zutat ist der Hauptbestandteil von Marzipan?;Mandeln;Haselnüsse;Walnüsse;Pistazien
Essen;Wie nennt man das Zerteilen eines Geflügels in Portionsstücke?;Tranchieren;Filetieren;Dressieren;Sektieren
Essen;Welches Öl wird traditionell für die Herstellung von Hummus verwendet?;Olivenöl;Sonnenblumenöl;Rapsöl;Sesamöl
Essen;Welche Nudelform ähnelt kleinen Reiskörnern?;Orzo;Penne;Fusilli;Farfalle
Essen;Wie bezeichnet man das Abkühlen von Speisen in Eiswasser?;Abschrecken;Einfrieren;Kühlen;Lagern
Essen;Welches Gewürz wird aus der Rinde eines Baumes gewonnen?;Zimt;Muskat;Ingwer;Kurkuma
Essen;Wie nennt man die berühmte französische Fischsuppe aus Marseille?;Bouillabaisse;Minestrone;Gazpacho;Gulaschsuppe
Essen;Welche Zutat sorgt für die Bindung in einer klassischen Sauce Velouté?;Helle Mehlschwitze;Eigelb;Sahne;Tomatenmark
Essen;Welche Frucht wird zur Herstellung von klassischem Aceto Balsamico verwendet?;Traube;Apfel;Birne;Kirsche
Essen;Wie nennt man die Technik, Fleisch mit Speckfäden zu durchziehen?;Lardieren;Spicken;Sutieren;Bridieren
Essen;Welche Rebsorte ist die Basis für den spanischen Rioja-Wein?;Tempranillo;Merlot;Chardonnay;Riesling
Essen;Wie bezeichnet man das Garen im Vakuumbeutel?;Sous-vide;Pochieren;Dünsten;Dämpfen
Essen;Welches Kraut gehört zwingend in ein Bouquet Garni?;Lorbeerblatt;Basilikum;Schnittlauch;Minze
Essen;Wie nennt man die Kruste, die beim Braten von Fleisch entsteht?;Bratensatz;Panade;Glasur;Schmorsaft
Essen;Welche Nussart ist botanisch gesehen eigentlich eine Steinfrucht?;Walnuss;Haselnuss;Edelkastanie;Paranuss
Essen;Wie nennt man das vorsichtige Unterheben von Zutaten?;Melieren;Rühren;Schlagen;Kneten
Essen;Welches Land exportiert den meisten Kaffee weltweit?;Brasilien;Vietnam;Kolumbien;Äthiopien
Essen;Welche Zutat ist charakteristisch für die thailändische Tom-Yum-Suppe?;Zitronengras;Sojasauce;Kokosmilch;Tofu
Essen;Wie nennt man das Vorbereiten der Arbeitsstation in der Profiküche?;Mise en Place;A point;Service;Catering
Essen;Welches Gewürz wird oft als "Königin der Gewürze" bezeichnet?;Kardamom;Zimt;Pfeffer;Vanille
Essen;Wie nennt man das Entfernen von Trübstoffen aus einer Brühe?;Klären;Filtrieren;Passieren;Reduzieren
Essen;Welcher Käse wird für ein klassisches Tiramisu verwendet?;Mascarpone;Ricotta;Quark;Frischkäse
Essen;Wie bezeichnet man das Garen bei Temperaturen knapp unter dem Siedepunkt?;Simmern;Kochen;Frittieren;Rösten
Essen;Welches Tier liefert die Milch für echten Büffelmozzarella?;Wasserbüffel;Hausrind;Ziege;Schaf
Essen;Wie nennt man das Einschlagen von Fleisch in Teig oder Teigblätter?;Einbacken;Manteln;Dressieren;Panieren
Essen;Welche Frucht hat den höchsten Fettgehalt?;Avocado;Banane;Apfel;Mango
Essen;Wie nennt man das dicke, konzentrierte Einkochen einer Flüssigkeit?;Reduzieren;Eindampfen;Legieren;Montieren
Essen;Welches Mehl wird für die Herstellung von Pasta Secca (getrockneter Pasta) verwendet?;Hartweizengrieß;Dinkelmehl;Roggenmehl;Maismehl
Essen;Wie nennt man das Überziehen von Gebäck mit Zuckerglasur?;Glasieren;Aprikotieren;Kandieren;Pudern
Essen;Welches Mineral ist der Hauptbestandteil von Speisesalz?;Natriumchlorid;Magnesiumsulfat;Kaliumcarbonat;Calciumsulfat
Essen;Wie bezeichnet man das Zerkleinern von Fleisch im Fleischwolf?;Faschieren;Hacken;Cutter;Pürieren
Essen;Welche Zutat ist essenziell für die Herstellung von Joghurt?;Milchsäurebakterien;Hefe;Essigmutter;Lab
Essen;Wie nennt man das Einreiben von Fleisch mit Gewürzen ohne Flüssigkeit?;Rub;Marinade;Beize;Glasur
Essen;Welche Teeart wird unfermentiert verarbeitet?;Grüner Tee;Schwarzer Tee;Oolong Tee;Pu-Erh Tee
Essen;Wie nennt man die kleinen Vorspeisen in spanischen Bars?;Tapas;Meze;Antipasti;Dim Sum
Essen;Welches Vitamin ist besonders reichlich in Zitrusfrüchten enthalten?;Vitamin C;Vitamin B12;Vitamin D;Vitamin K
Essen;Wie nennt man das Ablösen von Fleisch vom Knochen?;Ausbeinen;Filetieren;Tranchieren;Sektieren
Essen;Welche Zutat verleiht dem Gebäck "Lebkuchen" sein typisches Aroma?;Honig;Zucker;Ahornsirup;Agavendicksaft
Essen;Wie nennt man das Aufschlagen von Butter in eine Sauce zum Binden?;Montieren;Legieren;Passieren;Reduzieren
Essen;Welches Land ist bekannt für seine "Dim Sum"-Kultur?;China;Japan;Korea;Thailand
